v_ee_x, v_ee_y, v_ee_z
0.0272969, -0.0973482, -0.148711
0.0274199, -0.09921, -0.149327
0.0284857, -0.100798, -0.14932
0.0277807, -0.10118, -0.149715
0.0284332, -0.101776, -0.147492
0.0283737, -0.102213, -0.146438
0.0297255, -0.104061, -0.144372
0.029699, -0.104658, -0.144273
0.0297887, -0.105125, -0.14266
0.0294939, -0.105143, -0.141894
0.0302795, -0.107122, -0.141289
0.0309693, -0.108796, -0.140748
0.0337561, -0.113271, -0.139274
0.0364684, -0.116963, -0.137421
0.036641, -0.118479, -0.136723
0.0362741, -0.118148, -0.135761
0.0381401, -0.121049, -0.135151
0.0403562, -0.125782, -0.135276
0.042514, -0.12816, -0.133138
0.0432824, -0.129712, -0.132319
0.0456938, -0.132979, -0.129879
0.0484051, -0.137771, -0.12909
0.0482758, -0.139806, -0.129862
0.0475847, -0.138949, -0.129234
0.046568, -0.138645, -0.130113
0.0492051, -0.142644, -0.128022
0.0526442, -0.14744, -0.126816
0.0547678, -0.151596, -0.126147
0.054458, -0.151449, -0.125841
0.0536474, -0.151754, -0.126426
0.0542163, -0.153132, -0.125708
0.056112, -0.157105, -0.124903
0.0579575, -0.16093, -0.124355
0.0575452, -0.161119, -0.123945
0.055402, -0.160597, -0.124366
0.0542628, -0.164327, -0.125812
0.0566152, -0.170622, -0.124494
0.0547237, -0.17231, -0.124429
0.0480087, -0.170687, -0.126893
0.0447156, -0.17403, -0.128566
0.0470473, -0.183402, -0.129336
0.0476057, -0.189027, -0.130303
0.0436613, -0.187276, -0.1308
0.0397249, -0.18915, -0.133372
0.0387802, -0.193517, -0.134661
0.0398316, -0.196285, -0.133118
0.0389319, -0.199901, -0.133953
0.0353445, -0.203372, -0.137593
0.0332571, -0.204239, -0.137882
0.0334734, -0.207066, -0.13722
0.0333983, -0.213545, -0.139293
0.0300741, -0.212803, -0.139094
0.0292764, -0.213119, -0.137212
0.0288078, -0.217305, -0.138303
0.0282031, -0.220409, -0.139572
0.0286504, -0.224281, -0.139249
0.0266926, -0.22519, -0.138918
0.0256947, -0.225189, -0.137462
0.0263837, -0.229426, -0.13663
0.0259119, -0.230772, -0.135588
0.0256018, -0.233955, -0.135333
0.0240323, -0.236218, -0.136418
0.0242902, -0.238383, -0.136054
0.0242881, -0.241317, -0.135019
0.0218782, -0.241476, -0.13531
0.0206127, -0.242839, -0.134304
0.0192054, -0.244439, -0.134976
0.0195632, -0.246906, -0.134417
0.0180561, -0.248176, -0.134488
0.0176715, -0.248179, -0.13289
0.0174807, -0.249961, -0.13141
0.0175624, -0.252111, -0.131526
0.0156973, -0.254683, -0.132515
0.0133531, -0.254372, -0.132468
0.013467, -0.256302, -0.131129
0.0132475, -0.25854, -0.130007
0.0140498, -0.261748, -0.130248
0.0124142, -0.262053, -0.130267
0.0134983, -0.263768, -0.12874
0.0135215, -0.265271, -0.126158
0.0145397, -0.268017, -0.124048
0.0134899, -0.270272, -0.12405
0.0129771, -0.273945, -0.125535
0.0114755, -0.275929, -0.127069
0.0113395, -0.277176, -0.125706
0.0109856, -0.277301, -0.123337
0.0110949, -0.278388, -0.121043
0.011563, -0.279137, -0.119816
0.0105399, -0.282804, -0.121544
0.00838724, -0.285187, -0.123762
0.00800008, -0.286785, -0.123345
0.00803756, -0.285406, -0.120583
0.00968697, -0.286805, -0.117327
0.00909511, -0.288544, -0.11675
0.00863193, -0.290376, -0.116753
0.0084647, -0.292249, -0.116814
0.00786702, -0.293727, -0.116498
0.00750057, -0.296073, -0.115992
0.00720975, -0.298215, -0.115111
0.00772419, -0.299319, -0.113297
0.00748274, -0.300111, -0.112535
0.00778248, -0.300547, -0.111017
0.00736762, -0.303125, -0.110515
0.00604414, -0.30569, -0.111206
0.00504004, -0.308849, -0.111346
0.00495974, -0.309912, -0.110438
0.00519351, -0.308524, -0.10856
0.00445361, -0.308496, -0.107957
0.00490606, -0.312236, -0.107875
0.00451834, -0.313526, -0.107108
0.00364826, -0.313994, -0.106332
0.00227756, -0.313887, -0.105732
0.00156669, -0.316518, -0.105588
0.00160077, -0.319964, -0.105413
0.00105258, -0.320499, -0.105157
0.00145904, -0.320376, -0.103615
0.00111815, -0.321408, -0.102291
-0.000467087, -0.323725, -0.102521
-0.000776012, -0.325852, -0.102084
0.000659527, -0.327507, -0.100516
0.00114705, -0.327379, -0.0988901
-9.41101e-05, -0.328295, -0.0983641
-0.000129933, -0.331367, -0.0977419
0.000697497, -0.333746, -0.0961164
0.0007906, -0.335866, -0.0959664
-0.00128684, -0.336854, -0.096662
-0.00154311, -0.338294, -0.0960734
-0.00123943, -0.338987, -0.0948037
0.000286272, -0.339907, -0.0930139
-0.00105468, -0.341449, -0.092909
-0.00410514, -0.342531, -0.0944427
-0.00524793, -0.343896, -0.0943094
-0.00449091, -0.344417, -0.0927853
-0.00386737, -0.344761, -0.0912015
-0.00484035, -0.346415, -0.0910633
-0.005096, -0.348523, -0.0904035
-0.00511133, -0.349445, -0.0891752
-0.00527975, -0.350332, -0.0884324
-0.00654249, -0.352036, -0.0885184
-0.00740047, -0.353872, -0.0882539
-0.00806323, -0.354675, -0.0878993
-0.00669135, -0.354501, -0.085725
-0.00629944, -0.35636, -0.0846607
-0.00711704, -0.36053, -0.0852388
-0.00817206, -0.361983, -0.0849014
-0.00848644, -0.360324, -0.0834536
-0.00763072, -0.36035, -0.0815714
-0.00788528, -0.36297, -0.0813122
-0.00801942, -0.366523, -0.0812397
-0.00825857, -0.366787, -0.0800929
-0.00927773, -0.366023, -0.0793485
-0.0111921, -0.365401, -0.079337
-0.0115387, -0.367202, -0.0789779
-0.0113122, -0.368456, -0.0782554
-0.00924865, -0.370381, -0.0761651
-0.0105194, -0.37071, -0.0757563
-0.013615, -0.371287, -0.0770589
-0.0144243, -0.372513, -0.0767384
-0.0129821, -0.374414, -0.0751228
-0.0117379, -0.375921, -0.073418
-0.0127659, -0.377444, -0.073233
-0.0134241, -0.378458, -0.0727206
-0.0130713, -0.379358, -0.0716094
-0.0131014, -0.38135, -0.0711089
-0.0145722, -0.382546, -0.071164
-0.0155881, -0.382695, -0.0708897
-0.0165664, -0.38252, -0.0707455
-0.0149512, -0.384379, -0.0692405
-0.0148965, -0.385958, -0.0683074
-0.0168445, -0.386744, -0.0688227
-0.0183216, -0.386848, -0.068731
-0.0179975, -0.386633, -0.0677068
-0.0169774, -0.386662, -0.0662203
-0.0169635, -0.388151, -0.0655272
-0.0173815, -0.389772, -0.0649441
-0.0177627, -0.389771, -0.0641938
-0.0181192, -0.388684, -0.0633787
-0.0188694, -0.390012, -0.0632164
-0.0195561, -0.392784, -0.0628531
-0.0199669, -0.394905, -0.062241
-0.019171, -0.396235, -0.0612088
-0.0177419, -0.396957, -0.0594818
-0.0187175, -0.396211, -0.0589327
-0.0206864, -0.396651, -0.0592479
-0.0218184, -0.398302, -0.0592549
-0.0208387, -0.399717, -0.0579945
-0.0206451, -0.399286, -0.0570642
-0.0212895, -0.399112, -0.0562895
-0.0219366, -0.39918, -0.0557587
-0.0220889, -0.400435, -0.0548359
-0.0217962, -0.401359, -0.0536705
-0.0223939, -0.401267, -0.053005
-0.023316, -0.40118, -0.0525263
-0.0240407, -0.402302, -0.0521827
-0.0246255, -0.403292, -0.0517953
-0.0246538, -0.4033, -0.0511476
-0.023967, -0.403562, -0.0496228
-0.0232119, -0.405327, -0.048124
-0.0237919, -0.408564, -0.0478979
-0.0241243, -0.410202, -0.0472185
-0.0244978, -0.407915, -0.0461651
-0.0245996, -0.406155, -0.0452181
-0.0238034, -0.40882, -0.0440052
-0.0241371, -0.41112, -0.0435383
-0.0242145, -0.409941, -0.0425543
-0.0254963, -0.408061, -0.0421113
-0.0253282, -0.408487, -0.0411902
-0.025495, -0.410284, -0.0402428
-0.0258046, -0.411809, -0.0397381
-0.0264318, -0.410691, -0.0390392
-0.0266269, -0.409921, -0.0381839
-0.0274031, -0.411164, -0.0378315
-0.0270769, -0.411468, -0.0369649
-0.0260213, -0.411392, -0.0352643
-0.0255243, -0.412429, -0.0340939
-0.0265485, -0.41521, -0.0338952
-0.0269147, -0.41792, -0.0331537
-0.0274759, -0.416459, -0.03241
-0.0275634, -0.413937, -0.0316371
-0.0276844, -0.414998, -0.0308252
-0.0274748, -0.418009, -0.0300118
-0.0270686, -0.417385, -0.028792
-0.0281437, -0.415808, -0.0286055
-0.0279383, -0.415096, -0.0275121
-0.0281674, -0.41634, -0.0266135
-0.0280503, -0.417366, -0.0256989
-0.0276268, -0.416223, -0.0245024
-0.0285107, -0.415769, -0.0241803
-0.0288618, -0.416511, -0.0235673
-0.0289069, -0.416662, -0.022711
-0.0296602, -0.417021, -0.0224235
-0.0292594, -0.417629, -0.0212746
-0.0297222, -0.420086, -0.0205517
-0.0300031, -0.422182, -0.0197989
-0.0287129, -0.420302, -0.0180666
-0.0288269, -0.418712, -0.0173017
-0.0284958, -0.419426, -0.016299
-0.0278001, -0.421139, -0.0149655
-0.028847, -0.421197, -0.0148079
-0.0292688, -0.420084, -0.0141838
-0.0284722, -0.419245, -0.012947
-0.0289506, -0.419072, -0.0124938
-0.0292212, -0.418803, -0.011741
-0.0283221, -0.418896, -0.010292
-0.0284166, -0.419906, -0.00951625
-0.0284648, -0.419023, -0.00872302
-0.0278899, -0.418204, -0.00761243
-0.0275475, -0.418635, -0.00668274
-0.0281612, -0.420763, -0.00612784
-0.0283631, -0.421748, -0.00518765
-0.0273925, -0.421337, -0.00373281
-0.0269487, -0.420989, -0.00277313
-0.0273832, -0.421134, -0.00227176
-0.0275431, -0.42028, -0.00160634
-0.0275039, -0.421405, -0.000618798
-0.0272471, -0.421643, 0.000293063
-0.0270133, -0.42144, 0.00127327
-0.02689, -0.419188, 0.00199836
-0.0268132, -0.417581, 0.00267168
-0.0266303, -0.418382, 0.00371858
-0.0266552, -0.419951, 0.00468078
-0.0265213, -0.419451, 0.005525
-0.0262664, -0.418088, 0.00632895
-0.0258576, -0.417962, 0.00722243
-0.025846, -0.418821, 0.00803278
-0.0258215, -0.418351, 0.00884133
-0.0252234, -0.417567, 0.00990289
-0.0248361, -0.419404, 0.0109908
-0.0249561, -0.420838, 0.0117816
-0.0254388, -0.419591, 0.0121689
-0.0254915, -0.418148, 0.0128202
-0.0249464, -0.418802, 0.0139529
-0.0249305, -0.419806, 0.0148176
-0.0247051, -0.418299, 0.0156163
-0.0243397, -0.415924, 0.0162806
-0.0238723, -0.415757, 0.0172241
-0.0235277, -0.415734, 0.0180905
-0.0233995, -0.416353, 0.0190109
-0.0237627, -0.416356, 0.0196515
-0.0246823, -0.416368, 0.0200855
-0.0256301, -0.414761, 0.0202611
-0.0268272, -0.41341, 0.0203121
-0.0283547, -0.414082, 0.0204742
-0.0297433, -0.414838, 0.0207099
-0.0312522, -0.415108, 0.0207403
-0.0328193, -0.41619, 0.0209197
-0.0343011, -0.417347, 0.0211202
-0.0357407, -0.415788, 0.0209535
-0.036955, -0.413466, 0.0207817
-0.038378, -0.41307, 0.0207589
-0.0398557, -0.415495, 0.0212457
-0.0411473, -0.414917, 0.0213215
-0.0422615, -0.412877, 0.021251
-0.0432886, -0.410954, 0.0211937
-0.0446017, -0.411753, 0.0214429
-0.0456114, -0.411359, 0.0217446
-0.0464329, -0.410279, 0.0219994
-0.0475411, -0.409691, 0.0220841
-0.0487021, -0.409463, 0.0222124
-0.0498827, -0.408946, 0.0222821
-0.0493341, -0.408636, 0.0232996
-0.0484705, -0.408209, 0.0242731
-0.047802, -0.407894, 0.0252058
-0.0462432, -0.407307, 0.0266205
