T1, T2, T3, T4, T5, T6, T7
11.9326, 12.2773, 0.055904, 6.95999, -0.588419, -0.199323, 0.0527755
11.915, 12.2538, 0.0236208, 6.9377, -0.588566, -0.198255, 0.0528919
11.9048, 12.3346, -0.00652888, 6.89096, -0.587869, -0.196585, 0.0530105
11.844, 12.3475, -0.0635887, 6.85558, -0.58861, -0.195034, 0.0531422
11.7863, 12.4184, -0.120095, 6.82464, -0.58936, -0.194416, 0.053277
11.7769, 12.4901, -0.150424, 6.77161, -0.588685, -0.192135, 0.0533936
11.753, 12.4898, -0.183161, 6.75899, -0.588756, -0.19234, 0.0535072
11.6086, 12.3637, -0.275888, 6.83018, -0.592889, -0.19743, 0.0536546
11.5225, 12.3683, -0.344149, 6.79776, -0.594016, -0.195738, 0.0537887
11.5333, 12.597, -0.366541, 6.67196, -0.591109, -0.189811, 0.0539013
11.5039, 12.6151, -0.401959, 6.64326, -0.59091, -0.188825, 0.0540129
11.4018, 12.5772, -0.473479, 6.66943, -0.593187, -0.191717, 0.0541462
11.319, 12.4316, -0.529884, 6.7155, -0.595383, -0.194515, 0.0542648
11.2046, 12.5047, -0.612871, 6.66272, -0.596376, -0.192089, 0.0544065
11.094, 12.5357, -0.694225, 6.61457, -0.597726, -0.189659, 0.0545372
11.1087, 12.5232, -0.703915, 6.61438, -0.597338, -0.190779, 0.0546249
11.1279, 12.5326, -0.709901, 6.57055, -0.595554, -0.188532, 0.0547134
11.031, 12.5408, -0.778164, 6.53386, -0.596235, -0.186655, 0.0548378
10.8371, 12.4073, -0.890371, 6.59665, -0.600605, -0.190984, 0.0549842
10.7786, 12.3056, -0.931092, 6.6295, -0.601714, -0.193345, 0.0550864
10.8319, 12.5194, -0.925831, 6.49094, -0.597306, -0.186107, 0.0551681
10.838, 12.7741, -0.949412, 6.34152, -0.593926, -0.178772, 0.0552679
10.6683, 12.6458, -1.05022, 6.37969, -0.597672, -0.181075, 0.0554022
10.5881, 12.4348, -1.09678, 6.4798, -0.600557, -0.187737, 0.0554994
10.518, 12.4508, -1.14886, 6.42766, -0.600345, -0.184411, 0.0556058
10.4405, 12.5049, -1.20615, 6.36933, -0.600142, -0.181968, 0.0557145
10.41, 12.5361, -1.23643, 6.34976, -0.599812, -0.181789, 0.0558048
10.4393, 12.5684, -1.23376, 6.28785, -0.59716, -0.178384, 0.0558753
10.3827, 12.6338, -1.27621, 6.23769, -0.596245, -0.176527, 0.0559764
10.2249, 12.5361, -1.36599, 6.25437, -0.598729, -0.177451, 0.0561031
10.1165, 12.384, -1.42478, 6.32233, -0.601037, -0.182073, 0.056205
10.1703, 12.5168, -1.41233, 6.22214, -0.597144, -0.176973, 0.0562672
10.178, 12.7174, -1.42519, 6.0994, -0.59345, -0.171011, 0.0563514
10.0212, 12.5439, -1.50833, 6.15542, -0.596474, -0.174201, 0.0564678
9.85555, 12.3642, -1.59492, 6.22375, -0.599873, -0.178351, 0.0565821
9.82582, 12.3059, -1.61978, 6.20274, -0.599492, -0.176867, 0.0566545
9.70937, 12.2789, -1.69103, 6.18893, -0.600957, -0.176495, 0.0567572
9.57524, 12.267, -1.77143, 6.16976, -0.602602, -0.175553, 0.056867
9.50323, 12.2614, -1.82098, 6.12899, -0.602802, -0.173286, 0.0569524
9.45214, 12.3062, -1.86302, 6.07371, -0.602582, -0.170392, 0.0570311
9.3351, 12.2543, -1.93366, 6.07397, -0.604558, -0.170754, 0.0571229
9.15306, 12.109, -2.03011, 6.13107, -0.608373, -0.174395, 0.0572335
8.99078, 12.1742, -2.12666, 6.0735, -0.60976, -0.171406, 0.0573455
8.90306, 12.35, -2.19025, 5.93401, -0.608197, -0.163435, 0.0574369
8.75198, 12.296, -2.27415, 5.94179, -0.610551, -0.164378, 0.0575327
8.60366, 12.1757, -2.35495, 5.96659, -0.613371, -0.165697, 0.0576218
8.43924, 11.9964, -2.43865, 6.02155, -0.61671, -0.168743, 0.0577121
8.32173, 12.0288, -2.50875, 5.98117, -0.617567, -0.166783, 0.0577956
8.14959, 12.065, -2.60668, 5.91788, -0.618926, -0.162985, 0.0578946
7.97817, 12.1003, -2.70162, 5.88965, -0.620717, -0.1622, 0.0579957
7.86767, 12.098, -2.76565, 5.84235, -0.62123, -0.159224, 0.05807
7.74452, 12.1754, -2.83784, 5.78673, -0.621695, -0.156853, 0.0581497
7.59675, 12.0884, -2.91603, 5.79863, -0.624046, -0.157758, 0.0582269
7.425, 11.9912, -3.00494, 5.82056, -0.626973, -0.159045, 0.0583084
7.1898, 12.0126, -3.12829, 5.76295, -0.629032, -0.155535, 0.0584174
7.0114, 12.0344, -3.2233, 5.72627, -0.630678, -0.153676, 0.0585033
6.88868, 11.9097, -3.28579, 5.73261, -0.632388, -0.153679, 0.0585618
