q1, q2, q3, q4, q5, q6, q7
0.486787, 0.883756, 0.168911, -1.2667, 0.000163081, 0.644318, 8.48483e-05
0.487676, 0.885528, 0.168765, -1.26524, 0.000162985, 0.644321, 8.49082e-05
0.488595, 0.887293, 0.168577, -1.26382, 0.000163944, 0.644322, 8.50281e-05
0.4895, 0.889053, 0.168339, -1.26242, 0.000164328, 0.644324, 8.48483e-05
0.490416, 0.890814, 0.168048, -1.26104, 0.000163944, 0.644324, 8.49082e-05
0.491298, 0.892559, 0.167709, -1.25965, 0.000162314, 0.644325, 8.50281e-05
0.492189, 0.894293, 0.167337, -1.25822, 0.000163848, 0.644326, 8.49682e-05
0.493082, 0.896023, 0.166958, -1.25683, 0.00016289, 0.644332, 8.50281e-05
0.493948, 0.897746, 0.166537, -1.25546, 0.000163369, 0.644331, 8.49082e-05
0.494823, 0.899466, 0.166075, -1.2541, 0.000163465, 0.644333, 8.48483e-05
0.495674, 0.901182, 0.16558, -1.25276, 0.000163369, 0.644336, 8.50281e-05
0.496539, 0.902889, 0.165079, -1.25141, 0.000163752, 0.644334, 8.49082e-05
0.497391, 0.904588, 0.164565, -1.25007, 0.000163657, 0.644339, 8.48483e-05
0.498209, 0.906284, 0.163999, -1.24875, 0.00016404, 0.64434, 8.50281e-05
0.49905, 0.90798, 0.163432, -1.24744, 0.00016289, 0.64434, 8.49682e-05
0.499871, 0.909668, 0.162848, -1.24611, 0.000162698, 0.64434, 8.48483e-05
0.500676, 0.91135, 0.162238, -1.2448, 0.000163944, 0.644342, 8.50281e-05
0.501478, 0.913023, 0.161602, -1.24352, 0.000164136, 0.644342, 8.49682e-05
0.502252, 0.914696, 0.160941, -1.24224, 0.000164711, 0.644341, 8.47284e-05
0.503048, 0.916357, 0.160293, -1.24098, 0.000163465, 0.644346, 8.50281e-05
0.503846, 0.918014, 0.159637, -1.23969, 0.000163944, 0.644344, 8.49682e-05
0.504604, 0.919657, 0.158955, -1.2384, 0.000163848, 0.644351, 8.48483e-05
0.505375, 0.921304, 0.158252, -1.23716, 0.000163657, 0.64435, 8.50281e-05
