dq1, dq2, dq3, dq4, dq5, dq6, dq7
0.39232, 0.312128, 0.155532, 0.160005, -5.01998e-05, 0.00114136, -2.4073e-05
0.392378, 0.315098, 0.154437, 0.170107, -0.000118348, 0.000572514, 1.60234e-05
0.39251, 0.315847, 0.154012, 0.179555, 1.16239e-05, 0.000887691, -1.95905e-05
0.391501, 0.318895, 0.150393, 0.1882, 2.64941e-05, 0.000453433, -2.01155e-06
0.389846, 0.322081, 0.146267, 0.195941, -4.16367e-05, 0.000608017, 3.91513e-05
0.389272, 0.324354, 0.145427, 0.202475, -1.84508e-05, 0.000282787, -9.34167e-06
0.387697, 0.326556, 0.142505, 0.212438, 7.72351e-05, 0.000458994, -2.4161e-05
0.387179, 0.328225, 0.139755, 0.220263, -4.0514e-05, 0.000336865, 1.59844e-05
0.386529, 0.329993, 0.139137, 0.230437, 5.67865e-05, 0.000249384, -1.2938e-05
0.384239, 0.331697, 0.133538, 0.234893, 8.92324e-05, 0.000631041, 7.61827e-06
0.38263, 0.334448, 0.129922, 0.240244, -7.79032e-05, 0.000586627, 1.00457e-05
0.382758, 0.335687, 0.13143, 0.246045, -0.000194692, 0.000466839, -1.55697e-05
0.382148, 0.338485, 0.129395, 0.252734, -5.42413e-05, 0.000780798, -2.29796e-07
0.380329, 0.339251, 0.123815, 0.25816, 9.34091e-05, 0.000586245, 1.32498e-05
0.378708, 0.340498, 0.121549, 0.26547, 7.34272e-05, 0.000793681, -1.41499e-05
0.377704, 0.341211, 0.121073, 0.270131, 1.11952e-05, 0.000551911, 1.3751e-05
0.37601, 0.343923, 0.117111, 0.274358, -4.84357e-05, 0.00125228, -7.25802e-06
0.375213, 0.345258, 0.114227, 0.280776, -1.01091e-07, 0.000294669, -2.32376e-05
0.3748, 0.346877, 0.112723, 0.288245, -3.20789e-05, 0.00150533, 2.30755e-05
0.373022, 0.348415, 0.109019, 0.288612, -9.96461e-05, 0.00118761, -1.64654e-05
0.370766, 0.350425, 0.104462, 0.29087, -9.75342e-05, 0.000699785, 6.04299e-06
0.369833, 0.352684, 0.103877, 0.294166, -5.15346e-07, 0.000483611, 1.60295e-05
0.369853, 0.353845, 0.103151, 0.300272, 0.000127908, 0.000481253, -2.62697e-05
0.368294, 0.354513, 0.10002, 0.307736, 0.000131421, 0.000466856, 8.38026e-06
0.366548, 0.355136, 0.0948079, 0.309702, 4.84071e-06, 0.000400413, 3.7136e-06
0.365641, 0.355979, 0.0923783, 0.311053, -1.9198e-05, 0.000317575, -1.83757e-05
0.365653, 0.356306, 0.0914886, 0.313074, -0.00010461, 0.000187454, 2.523e-05
0.36407, 0.358273, 0.0886784, 0.316919, -6.7719e-05, 0.000450109, 4.51061e-06
0.362828, 0.358457, 0.0852242, 0.320004, 1.27163e-05, 0.000259524, 1.99882e-06
0.361777, 0.35994, 0.0831196, 0.323834, 5.90123e-05, 0.000955876, 7.55548e-06
0.360657, 0.359944, 0.080979, 0.325458, 3.68221e-05, 0.000443606, -1.66732e-05
0.358933, 0.360432, 0.0784221, 0.328747, -0.000133162, 0.0002166, 5.96308e-06
0.357796, 0.361276, 0.0749867, 0.330044, -9.10433e-05, 0.000443003, 9.31219e-06
0.357832, 0.362738, 0.0729104, 0.327315, 9.84633e-05, 0.00034313, -1.58947e-05
0.357034, 0.3641, 0.0710628, 0.330544, 6.49953e-05, 0.000138702, 6.30804e-06
0.355679, 0.362848, 0.0675612, 0.335926, -3.23226e-06, 0.00030839, 9.46505e-06
0.354518, 0.363568, 0.0643745, 0.337623, 3.06018e-05, 2.98826e-05, -1.5827e-05
0.353931, 0.364087, 0.0621482, 0.335979, -1.84733e-05, 0.000487072, 1.30078e-05
0.353156, 0.366306, 0.0594131, 0.335231, -2.95488e-05, 0.00025587, -7.58736e-06
0.352913, 0.366515, 0.0575471, 0.337996, 8.26839e-06, -4.01031e-05, -2.33836e-05
0.351938, 0.367522, 0.0566602, 0.341263, 0.000121109, 0.000469398, 2.30108e-05
0.349383, 0.367775, 0.053938, 0.340529, -2.10717e-05, 0.00038153, -1.64941e-05
0.347651, 0.368667, 0.0500624, 0.343153, -0.000222885, 0.000275846, -7.30915e-06
0.347357, 0.369543, 0.0475174, 0.345404, -0.000152166, 0.000195641, 2.34521e-05
0.348014, 0.370786, 0.0455354, 0.342451, 0.000124774, 0.000333622, -9.62883e-06
0.346884, 0.371864, 0.042328, 0.341008, 8.73263e-05, -5.66071e-06, -1.09366e-05
0.345002, 0.370666, 0.0382106, 0.346669, 1.7335e-05, -0.000249422, 2.18446e-05
0.343293, 0.369075, 0.0356118, 0.352141, 7.68178e-06, 0.000436705, -1.03412e-05
