ee_x, ee_y, ee_z,time_us
0.582336, 0.414238, 0.263535,1645479805453641
0.582498, 0.414337, 0.262788,1645479805458641
0.582647, 0.414457, 0.262047,1645479805463641
0.582802, 0.414565, 0.261311,1645479805468641
0.582967, 0.414642, 0.260557,1645479805473641
0.583123, 0.414716, 0.259805,1645479805478642
0.583267, 0.414815, 0.259057,1645479805483641
0.583421, 0.414898, 0.258329,1645479805488641
0.583579, 0.414949, 0.257573,1645479805493641
0.583725, 0.415009, 0.256818,1645479805498641
0.583868, 0.415067, 0.256054,1645479805503641
0.584016, 0.415095, 0.255286,1645479805508641
0.584168, 0.415116, 0.254528,1645479805513641
0.584314, 0.415148, 0.253773,1645479805518641
0.584444, 0.415195, 0.253027,1645479805523641
0.584596, 0.415205, 0.25227,1645479805528640
0.584765, 0.415197, 0.251536,1645479805533641
0.584913, 0.415201, 0.250791,1645479805538641
0.585035, 0.415209, 0.250024,1645479805543640
0.58518, 0.415197, 0.249276,1645479805548640
0.585346, 0.415143, 0.248529,1645479805553639
0.585499, 0.415101, 0.247781,1645479805558640
0.585621, 0.415082, 0.247021,1645479805563639
0.58574, 0.415047, 0.246246,1645479805568640
0.585896, 0.414967, 0.245477,1645479805573639
0.58606, 0.41486, 0.244715,1645479805578639
0.586207, 0.414775, 0.243958,1645479805583639
0.586337, 0.414703, 0.243204,1645479805588639
0.586479, 0.414603, 0.242446,1645479805593639
0.586647, 0.414466, 0.241694,1645479805598639
0.586818, 0.41432, 0.240944,1645479805603639
0.586965, 0.414191, 0.240188,1645479805608638
0.587102, 0.414071, 0.239427,1645479805613638
0.587249, 0.413912, 0.23866,1645479805618638
0.58741, 0.413739, 0.237905,1645479805623638
0.587569, 0.413572, 0.237168,1645479805628638
0.587717, 0.413399, 0.236411,1645479805633638
0.587854, 0.413209, 0.235628,1645479805638638
0.588004, 0.412986, 0.234841,1645479805643638
0.588159, 0.412773, 0.234082,1645479805648637
0.588304, 0.412561, 0.233325,1645479805653638
0.588439, 0.412342, 0.232561,1645479805658638
0.588588, 0.412107, 0.231797,1645479805663638
0.588743, 0.411849, 0.23103,1645479805668638
0.588902, 0.41158, 0.230273,1645479805673638
0.589063, 0.411304, 0.22952,1645479805678638
0.58922, 0.411023, 0.228768,1645479805683638
0.589375, 0.410733, 0.228015,1645479805688639
0.589528, 0.410432, 0.227252,1645479805693638
0.589681, 0.410113, 0.226493,1645479805698638
0.58985, 0.409779, 0.225737,1645479805703638
0.590018, 0.409426, 0.224987,1645479805708638
0.590179, 0.409071, 0.224223,1645479805713638
0.590337, 0.408705, 0.22346,1645479805718638
0.590489, 0.408335, 0.222684,1645479805723638
0.590646, 0.407949, 0.221924,1645479805728638
0.590802, 0.407554, 0.221158,1645479805733637
0.590951, 0.407152, 0.220396,1645479805738638
0.591105, 0.406736, 0.219632,1645479805743638
0.59126, 0.406316, 0.21888,1645479805748638
0.591417, 0.405884, 0.218124,1645479805753638
0.591564, 0.405453, 0.217362,1645479805758639
0.591711, 0.405007, 0.2166,1645479805763639
0.591862, 0.40456, 0.215848,1645479805768638
0.592, 0.404104, 0.215089,1645479805773638
0.592139, 0.403642, 0.214338,1645479805778638
0.592273, 0.403174, 0.213576,1645479805783638
0.592405, 0.402696, 0.212816,1645479805788637
0.592537, 0.402217, 0.212059,1645479805793637
0.592673, 0.401734, 0.21132,1645479805798637
0.592813, 0.401243, 0.210578,1645479805803637
0.592951, 0.40074, 0.209828,1645479805808638
0.593099, 0.400231, 0.209081,1645479805813637
0.593237, 0.399724, 0.20833,1645479805818637
0.593382, 0.399214, 0.207601,1645479805823637
0.593525, 0.398701, 0.206872,1645479805828637
0.59368, 0.398175, 0.206158,1645479805833637
0.59383, 0.39765, 0.205436,1645479805838637
0.59398, 0.397123, 0.204728,1645479805843637
0.594128, 0.396598, 0.204021,1645479805848637
0.594283, 0.396055, 0.203316,1645479805853636
0.594442, 0.395505, 0.202614,1645479805858637
0.594623, 0.394921, 0.201923,1645479805863637
0.594817, 0.394323, 0.201242,1645479805868637
0.595002, 0.393725, 0.20056,1645479805873637
0.595183, 0.393136, 0.199885,1645479805878637
0.595383, 0.39252, 0.199211,1645479805883637
0.595595, 0.391873, 0.198533,1645479805888636
0.595817, 0.391224, 0.197875,1645479805893637
0.596038, 0.390569, 0.197216,1645479805898637
0.596277, 0.389892, 0.196576,1645479805903637
0.596531, 0.389185, 0.195932,1645479805908636
0.596774, 0.388479, 0.195279,1645479805913636
0.59701, 0.387788, 0.194635,1645479805918636
0.597241, 0.387097, 0.19398,1645479805923636
0.597498, 0.386368, 0.193348,1645479805928636
0.597777, 0.385613, 0.192717,1645479805933636
0.598061, 0.384839, 0.192089,1645479805938636
0.598333, 0.384083, 0.19146,1645479805943636
0.5986, 0.383324, 0.190825,1645479805948636
0.598875, 0.382554, 0.190198,1645479805953637
0.599165, 0.381753, 0.189576,1645479805958637
0.599464, 0.380934, 0.188956,1645479805963637
0.599751, 0.380128, 0.188337,1645479805968637
0.600022, 0.379328, 0.187713,1645479805973637
0.60029, 0.378492, 0.187077,1645479805978637
0.600584, 0.377615, 0.186459,1645479805983638
0.600852, 0.376748, 0.185836,1645479805988638
0.601068, 0.375901, 0.185191,1645479805993637
0.60128, 0.375019, 0.184541,1645479805998637
0.601526, 0.374065, 0.18389,1645479806003637
0.601769, 0.373099, 0.183234,1645479806008637
0.601974, 0.37217, 0.182577,1645479806013637
0.602159, 0.371218, 0.181898,1645479806018637
0.602351, 0.370234, 0.181219,1645479806023637
0.602557, 0.369242, 0.180558,1645479806028637
0.60275, 0.368229, 0.179884,1645479806033636
0.602915, 0.367199, 0.17918,1645479806038637
0.603076, 0.366175, 0.178488,1645479806043637
0.603246, 0.36513, 0.177804,1645479806048637
0.603416, 0.364037, 0.177098,1645479806053637
0.603556, 0.362977, 0.176402,1645479806058637
0.603701, 0.361911, 0.175722,1645479806063637
0.603846, 0.360808, 0.175024,1645479806068636
0.603988, 0.359695, 0.17432,1645479806073637
0.604136, 0.358559, 0.173623,1645479806078637
0.604264, 0.35743, 0.172929,1645479806083637
0.604392, 0.356305, 0.172246,1645479806088637
0.604529, 0.355142, 0.171564,1645479806093637
0.60466, 0.353983, 0.170889,1645479806098637
0.60479, 0.352802, 0.170212,1645479806103637
0.604907, 0.351612, 0.169524,1645479806108638
0.605033, 0.350413, 0.168843,1645479806113637
0.605157, 0.349195, 0.168171,1645479806118637
0.60526, 0.347988, 0.167491,1645479806123637
0.605362, 0.346769, 0.166822,1645479806128637
0.605455, 0.345541, 0.166143,1645479806133637
0.605558, 0.344298, 0.165471,1645479806138638
0.605646, 0.343052, 0.164797,1645479806143637
0.605736, 0.341812, 0.164137,1645479806148637
0.605826, 0.340556, 0.163484,1645479806153637
0.605918, 0.339287, 0.162825,1645479806158637
0.605992, 0.338004, 0.162156,1645479806163638
0.606053, 0.336734, 0.161492,1645479806168638
0.606125, 0.335446, 0.16084,1645479806173637
0.606194, 0.334145, 0.160193,1645479806178637
0.606271, 0.332824, 0.159539,1645479806183637
0.60633, 0.331513, 0.158886,1645479806188636
0.606406, 0.330188, 0.158246,1645479806193637
0.606478, 0.328856, 0.157624,1645479806198637
0.606558, 0.327506, 0.15701,1645479806203637
0.606625, 0.326146, 0.156388,1645479806208637
0.606692, 0.324762, 0.155753,1645479806213637
0.606748, 0.323375, 0.155109,1645479806218638
0.606808, 0.321985, 0.154484,1645479806223638
0.606866, 0.320599, 0.153875,1645479806228638
0.606926, 0.319203, 0.153277,1645479806233638
0.60699, 0.317805, 0.152681,1645479806238638
0.607043, 0.316376, 0.152064,1645479806243638
0.60708, 0.314941, 0.151435,1645479806248637
0.607123, 0.313502, 0.150818,1645479806253638
0.607168, 0.31208, 0.150224,1645479806258638
0.607227, 0.310641, 0.149648,1645479806263638
0.607275, 0.309192, 0.149065,1645479806268638
0.607321, 0.307733, 0.148479,1645479806273638
0.607367, 0.306265, 0.147893,1645479806278638
0.607409, 0.304791, 0.14731,1645479806283638
0.607449, 0.303301, 0.14673,1645479806288638
0.607489, 0.301802, 0.146156,1645479806293638
0.607534, 0.300301, 0.145595,1645479806298638
0.607576, 0.298798, 0.145033,1645479806303638
0.607621, 0.297294, 0.144482,1645479806308638
0.607661, 0.295768, 0.143929,1645479806313638
0.607691, 0.29423, 0.143369,1645479806318639
0.607717, 0.292673, 0.142809,1645479806323638
0.607746, 0.291119, 0.142259,1645479806328638
0.607778, 0.289583, 0.141721,1645479806333637
0.607803, 0.28804, 0.141182,1645479806338638
0.607834, 0.286464, 0.140641,1645479806343638
0.607861, 0.284892, 0.140106,1645479806348639
0.607881, 0.28332, 0.139576,1645479806353638
0.607892, 0.281751, 0.139048,1645479806358638
0.607902, 0.280158, 0.138518,1645479806363638
0.607916, 0.278545, 0.13799,1645479806368638
0.607924, 0.27694, 0.137463,1645479806373638
0.607938, 0.275339, 0.136949,1645479806378638
0.607948, 0.273728, 0.136441,1645479806383638
0.607945, 0.2721, 0.135925,1645479806388638
0.607946, 0.270462, 0.135414,1645479806393638
0.60796, 0.268818, 0.134916,1645479806398638
0.607973, 0.267181, 0.134426,1645479806403638
0.607974, 0.265536, 0.133934,1645479806408638
0.607979, 0.263867, 0.133446,1645479806413638
0.607991, 0.262189, 0.13297,1645479806418637
0.608002, 0.260501, 0.132489,1645479806423637
0.607993, 0.258812, 0.132,1645479806428637
0.60799, 0.257115, 0.13152,1645479806433637
0.607991, 0.255417, 0.131049,1645479806438638
0.608005, 0.253714, 0.130589,1645479806443637
0.608, 0.252, 0.130123,1645479806448637
0.607974, 0.250283, 0.129643,1645479806453636
0.607949, 0.248558, 0.12917,1645479806458636
0.607936, 0.246833, 0.12871,1645479806463636
0.607926, 0.245108, 0.128258,1645479806468636
0.607904, 0.243369, 0.127801,1645479806473636
0.607884, 0.241617, 0.12735,1645479806478636
0.607864, 0.239866, 0.126907,1645479806483635
0.607844, 0.23811, 0.126466,1645479806488635
0.607813, 0.236343, 0.126021,1645479806493635
0.607779, 0.234566, 0.125578,1645479806498636
0.607742, 0.232789, 0.125138,1645479806503636
0.607721, 0.231017, 0.124716,1645479806508636
0.607698, 0.229227, 0.124295,1645479806513635
0.607666, 0.227407, 0.123865,1645479806518636
0.607628, 0.225591, 0.123439,1645479806523636
0.607591, 0.223795, 0.123026,1645479806528636
0.607563, 0.221993, 0.122623,1645479806533636
0.607529, 0.220167, 0.122216,1645479806538636
0.607496, 0.21832, 0.121808,1645479806543636
0.60746, 0.216484, 0.12141,1645479806548636
0.607417, 0.214656, 0.121014,1645479806553636
0.60736, 0.212831, 0.120616,1645479806558636
0.607308, 0.210987, 0.12022,1645479806563636
0.60726, 0.209139, 0.11983,1645479806568636
0.607229, 0.207279, 0.119455,1645479806573636
0.607179, 0.205424, 0.119076,1645479806578636
0.607105, 0.203564, 0.118684,1645479806583636
0.607037, 0.201696, 0.118299,1645479806588636
0.606986, 0.199815, 0.117928,1645479806593636
0.606939, 0.197929, 0.117566,1645479806598636
0.606879, 0.196035, 0.117199,1645479806603636
0.606817, 0.194138, 0.116835,1645479806608636
0.60676, 0.192237, 0.116479,1645479806613636
0.606702, 0.190321, 0.116124,1645479806618637
0.606631, 0.188403, 0.115766,1645479806623637
0.606557, 0.186488, 0.115411,1645479806628636
0.606478, 0.184575, 0.115056,1645479806633636
0.606417, 0.182645, 0.114713,1645479806638636
0.606351, 0.180708, 0.114374,1645479806643637
0.606267, 0.17877, 0.114026,1645479806648637
0.606177, 0.176834, 0.11368,1645479806653636
0.606096, 0.174901, 0.113344,1645479806658636
0.606023, 0.172966, 0.113017,1645479806663636
0.605946, 0.171019, 0.11269,1645479806668636
0.605866, 0.169062, 0.112366,1645479806673636
0.605783, 0.167112, 0.112046,1645479806678636
0.605699, 0.165172, 0.111731,1645479806683636
0.60561, 0.163216, 0.111413,1645479806688636
0.605517, 0.16124, 0.111099,1645479806693636
0.605424, 0.159255, 0.110788,1645479806698636
0.60534, 0.157268, 0.110484,1645479806703636
0.605265, 0.155279, 0.110192,1645479806708636
